Agnid,Isfav,agencytitle,PostingNo,Endda,RequestType,Fract,ClosingDate,Frdes,Idesc,RemainingDays,Begda,Exper,Extxt,Farea,Frexp,Sort,Field,Toexp,Fdesc,Jobid,Joblv,Posid,Compt,Newjb,Agncy,Educa,Categ,Jobtitle,EmpType,EmpTypeTxt,Locationid,LocationTxt,Jobdesc,Jobres,Jobreq
9077,FALSE,,135e5426-adf2-1edf-9f88-9cd1ed68f36b,/Date(1728518400000)/,,0,Closing on 10 Oct 2024,,Human Resources ,Today,/Date(1727395200000)/,0,Entry level,6,0,,16,0,Human Resources,15010578,0,0,0,1,Singapore Tourism Board,0,0,"Manager to Senior Manager, HR Development",1,Permanent,,,"<br><br>You will implement STB's people development initiatives, particularly in the areas of talent management and leadership development interventions to enable our current and future leaders to perform effectively in their roles.<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p>","</p><p></p><p>You will be the talent management lead responsible for the review, formulation and implementation of talent management policies and initiatives. This include developing and implement strategies, initiatives to identify, develop, engage and retain talents:</p><p></p><p><strong>1. Identifying talents:</strong> Overseeing the talent framework and succession planning exercises i.e. policy and platform designs that enable the identification of talents;</p><p><strong>2. Developing talents:</strong> Managing and/or launching leadership programmes, which includes providing our talents with suitable self-assessment tools, learning interventions and other developmental opportunities to equip them with the relevant competencies as they progress in their career;</p><p><strong>3. Engaging talents:</strong> Managing STB&#39;s talent pool across their various postings, providing advice on HR policies and other career development matters, organising regular engagements between STB&#39;s talents and our leadership team, and launching leadership conversations to discuss leadership trends;</p><p><strong>4. Streamlining processes</strong>: Leveraging technology to streamline the talent management process, e.g. to enable quicker identification and management of our leaders, and enhance the tracking of opportunities availed; and</p><p>5. Providing support/manage any other learning &amp; development initiatives as requested</p><p></p><p>","</p><p></p><ul><li>At least 5 years of relevant work experience in leadership development and talent management, with strong knowledge in people and leadership development and talent management practices</li><li>Excellent communications and stakeholder management skills, to manage sensitive information maturely and to drive the people development agenda (especially for talent) effectively</li><li>Strong planning, analytical and organisational skills, with ability to think systemically to ensure successful implementation of talent/L&amp;D policies and timely execution of the talent management framework</li><li>Driven and motivated individual who continuously studies the landscape of people development, leadership practices and streamlines internal processes</li><li>Proficient in navigating information databases</li><li>Experience as a HR business partner will be an advantage</li><li>Showing good business acumen, analytical thinking and judgement     </li><li>Working effectively within STB to achieve results</li><li>Working effectively with stakeholders outside STB</li><li>Serving with heart, commitment and purpose</li><li>Being innovative and learning continuously</li></ul><p></p><p></p>"
9033,FALSE,,135e5426-adf2-1edf-9f88-9d1f5f30136b,/Date(1729728000000)/,,0,Closing on 24 Oct 2024,,Training and Development ,Today,/Date(1726876800000)/,0,Entry level,14,0,,34,0,Education Skills Development,15136261,0,0,0,1,Land Transport Authority,0,0,"[LTA-PT] TRAINER, SINGAPORE BUS ACADEMY (1-YEAR TEMPORARY CONTRACT)",6,Fixed Terms,,,"<br>TRAINER, SINGAPORE BUS ACADEMY (1-YEAR TEMPORARY CONTRACT)<br><br>",<br><br>We seek passionate individuals to be part of our Singapore Bus Academy (SGBA) team to deliver and review the courses offered under the centralised academy dedicated to bus industry professionals. You will need to conduct training and assessment for bus employees from all public bus operators and work with stakeholders to propose improvements to the existing training materials. <br><br>,"<br>•	Tertiary qualification in any discipline <br>•	ACTA / ACLP qualification <br>•	Effective communication and written skills (English and Chinese) as the <br>        trainer is required to conduct the training and assessment in both English <br>        and Chinese.<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p></p><p></p>"
9033,FALSE,,135e5426-adf2-1edf-9f88-9d074056d36b,/Date(1728432000000)/,,0,Closing on 09 Oct 2024,,Conciliation/ Mediation and Statistics ,Today,/Date(1727395200000)/,0,Entry level,13,0,,6,0,Data Analysis & Data Mgt,14910751,0,0,0,1,Land Transport Authority,0,0,"[LTA-VS] SENIOR EXECUTIVE, CUSTOMER SERVICE (STATISTICS & RESOURCS)",6,Fixed Terms,,,"<br>PRINCIPAL / SENIOR / EXECUTIVE, STATISTICS &amp; RESOURCES<br><br>","<br>You will be part of a dynamic team to manage vehicle-related data for the preparation of statistics reports and handling requests and feedback from internal/external stakeholders. Leveraging on digital tools, you will deliver accurate and meaningful statistics to the various stakeholders for the use in enhancing business processes, providing insights for policy-making as well as publications/reports posted at LTA and OneMotoring websites. <br><br>","<br>•Diploma in any discipline, preferably in Statistics, Mathematics, Data Science/Analytics, Business or Information Systems<br>• Proficient in Microsoft Office software suite, data management/presentation tools such as Hyperion, Power BI, IBM Query Management Facility and Tableau<br>• Meticulous, accurate and possess strong analytical and effective communication skills <br>• Self-directed learner with passion for continuous learning and improvement<br>• Able to work in a team as well as independently and thrive in a fast-paced work environment<br>• Preferably with 2 years hands-on experience working on relational databases or experience with robotic process automation tools such as UIPath will be an advantage<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p></p><p></p>"
9018,FALSE,,135e5426-adf2-1edf-9f88-980e7957f36b,/Date(1728864000000)/,,0,Closing on 14 Oct 2024,,"InfoComm, Technology, New Media Communications ",Today,/Date(1727395200000)/,0,Entry level,18,0,,17,0,Infocomm Technology,13366453,0,0,0,1,Government Technology Agency,0,0,"Lead UX Designer / Manager (Experimental Systems and Technology Lab, GovTech)",1,Permanent,,,"The Government Technology Agency (GovTech) aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do. We also develop the Smart Nation infrastructure and applications and facilitate collaboration with citizens and businesses to co-develop technologies. <br><br>Join us as we support Singapore’s vision of building a Smart Nation - a nation of possibilities empowered through info-communications technology and related engineering.<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p><strong>Consider making Experimental Systems and Technology Lab (ESTL) your next opportunity if… </strong><br /> </p><p><strong>1. You believe in the mission to advance education through tech innovation</strong></p><p>Join us at ESTL to empower educators, students, and parents with digital solutions, and create an integrated tech ecosystem that adds exponential value. We&#39;re dedicated to transforming education through innovative products.</p><p></p><p><strong>2. You actively use an open canvas to drive change and make a lasting impact</strong></p><p>Lead transformative change in education working alongside purpose-driven educators, designers, engineers, and Agile coaches. Our flat culture grants you the autonomy to drive impactful initiatives while navigating complex government needs.</p><p></p><p><strong>3. You consistently recognise boundless potential in others and want to grow a team of dedicated designers</strong></p><p>Empower a team of designers to reach their full potential by nurturing their unique strengths and abilities. As a leader, you&#39;ll be responsible for taking ESTL&#39;s design standards to the next level, making a significant impact alongside your team.</p><p></p><p><strong>Who we are </strong></p><div><div><div><div><p>Experimental Systems and Technology Lab (ESTL) is a part of GovTech that catalyses digital transformation within the Ministry of Education (MOE). It sits at an intersection of technology, design, and education. It’s a place where you can provide thought leadership and, together as a team solve diverse and complex challenges for the public education sector. You will work alongside thoughtful, intelligent teammates who lead with curiosity, empathy, and optimism. We are looking for people who will share the same excitement and passion to develop meaningful products, platforms, and solutions for public good.</p><p></p><p><strong><u>What you will be working on:</u></strong></p><p></p><p><span>As a UX Manager, </span>you will lead and empower a team of 8 designers to reach their full potential by nurturing their unique strengths and abilities. <span>You will play a crucial role in shaping UX strategy, driving best practices, ensuring the delivery of high-quality, user-centred designs and envisioning the future of UX at MOE. </span> </p><p></p><p><strong>Empowering the designers</strong></p><ul><li>You&#39;ll define and communicate the UX vision and strategy to your design team, drawing on your deep experience in product design to ensure a high quality of work across the team.</li><li>You’ll establish structures and processes to cultivate a strong design culture and help the design team grow in their practice.</li><li>You’ll be responsible for your designers’ overall performance and growth, by charting career development plans, skill development pathways, and conducting performance evaluations.   </li><li>As a mentor and coach, you will dedicate yourself to their professional growth and success.</li></ul><p></p><p><strong>Envisioning the future </strong> </p><ul><li>You’ll work closely with our directors and cross-functional leads to map out the product strategy, manage priorities across our portfolio of products and ensure resources are allocated optimally.  </li><li>As a thought leader of UX, you’ll strongly influence stakeholders and management to establish a unified UX approach to product development.   </li></ul><ul><li>You&#39;ll foster a UX-driven corporate culture by championing user-centred design thinking in the organisation.</li><li>You’ll work with other government agencies and find opportunities for sharing knowledge, best practices, and resources, thereby elevating MOE’s UX maturity.</li></ul><p></p></div></div></div></div><p><strong>Making impact visible</strong></p><ul><li>You’ll unify the approach to defining, tracking and sharing UX metrics to measure the effectiveness and impact of design solutions.</li><li>You’ll take the lead in curating and sharing UX impact that extends beyond product delivery.</li><li>You’ll highlight the impact of user centricity by demonstrating how data-driven decisions lead to better outcomes for our users and guide programme strategy.</li></ul><p><span><strong>What we are looking for:</strong></span></p><ul><li>Experience: You have 8 years of digital product design experience, with at least 2 years of experience leading a team of designers.</li><li><span>Education: Bachelor’s or Master’s degree in Product Design, Human-Computer Interaction, or a related field.</span></li><li>Skills: You have a strong understanding of UX design, principles, user research methodologies, and data-driven design.</li><li>Strategic Thinking: You have a strong portfolio that demonstrates your influence on design culture and strategy at an organisational level.</li><li>Passion: You believe in using technology for public good while navigating complex government needs.</li></ul><p></p><p>We are an equal opportunity employer and value diversity at our company as we believe that diversity is meaningful to innovation. Our employee benefits are based on a total rewards approach, offering a holistic and market-competitive suite of perks. This includes generous leave benefits to meet your work-life needs. We trust that you will get the job done wherever you are, and whatever works best for you – so work from home or take a break to exercise if you need to*.</p><p></p><p>We also believe it’s important for you to keep honing your craft in the constantly-evolving tech landscape, so we provide and support a plethora of in-house and external learning and development opportunities all year round.</p><h3></h3><h3>*Subject to the nature of your job role that might require you to be onsite during fixed hours</h3><p></p><p></p>",,
9055,FALSE,,135e5426-adf2-1edf-9f88-9e653ccb336b,/Date(1728604800000)/,,0,Closing on 11 Oct 2024,,"Sciences (e.g. life sciences, bio-technology etc.) ",Today,/Date(1717804800000)/,0,Entry level,17,0,,30,0,"Science, Engineering & Technical",14754414,0,0,0,1,National Parks Board,0,0,Lab Tech / Senior Lab Tech - Centre for Animal and Veterinary Sciences,6,Fixed Terms,,,"[What the role is]<br><br>The Animal &amp; Veterinary Service (AVS), a cluster of NParks, safeguards the health and welfare of animals through comprehensive and integrated programmes and works closely with partners in the veterinary and animal-related industries to strengthen capacities and enhance competencies in animal health and welfare. It is the main touch-point on animal and veterinary matters in Singapore and the first responder for all animal-related feedback. It also conducts public education and engagement programmes to foster a humane and gracious society for all, where pet owners, communities, and animals co-exist in greater harmony within our City in Nature.<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p>[What you will be working on]</p><p></p><p>You will be part of the Centre for Animal and Veterinary Sciences (CAVS) multi-disciplinary team under the Professional and Scientific Services Division of AVS. As a member of CAVS, you will be responsible for facilitating administrative functions to enable our staff to focus on pursuing critical laboratory diagnostic and research activities as well as planning and quality assurance activities for the Branch and Division. </p><p></p><p>Your scope of work includes:</p><p></p><p>•    Conduct laboratory tests such as culture, molecular and serological tests for the detection, diagnosis and characterisation of veterinary or zoonotic bacteria;<br />•    Assist in research and development projects;<br />•    Prepare and perform quality control testing of microbiological media and reagents;<br />•    Monitor, calibrate and maintain laboratory equipment;<br />•    Participate in the maintenance of a laboratory quality system according to ISO/IEC17025:2017 standards, to ensure the reliability of laboratory test results and laboratory safety;<br />•    Source and procure laboratory supplies and equipment.</p><p></p><p>[What are we looking for]</p><p></p><p>•    Diploma in biotechnology or related field.<br />•    Candidates with relevant job experience in a microbiology laboratory will have an advantage.<br />•    Highly motivated individual with passion for laboratory work. <br />•    Team player with initiative, drive, and good interpersonal/communication skills and able to work independently. <br />•    Good IT skills e.g. sound applied knowledge of Microsoft office. </p><p></p><p>Office Location:<br />The Animal &amp; Plant Health Centre - 6 Perahu Road Singapore 718827</p><p></p><p>Only shortlisted candidates will be notified. <br /> </p><p></p><p></p>",,
9081,FALSE,,135e5426-adf2-1edf-9f93-f2ffe8f5336b,/Date(1729900800000)/,,0,Closing on 26 Oct 2024,,Economics/Statistics ,Today,/Date(1722902400000)/,0,Entry level,21,0,,9,0,Policy & Planning,14147624,31,0,0,1,Urban Redevelopment Authority,0,0,Executive Data Scientist,3,Permanent/Contract,,,"Be part of the Analytics Unit in the property market research team, which is responsible for maintaining a stable and sustainable property market in Singapore. As part of the national land use planning authority, we conduct deep real estate and economic research to meet planning objectives and manage land sales.","We are currently looking for a data scientist to drive analytics work and glean impactful insights into property market trends and related urban planning issues. The officer will be expected to:
a.	Push the research frontier by seeking opportunities for impactful collaborations with government agencies and the private sector, such as tapping on novel datasets to yield new insights; 

b.	Conduct deep-dive analysis on property market and urban planning issues by conceptualizing and building analytical/forecasting models; and

c.	Leverage sophisticated techniques such as data mining, machine learning, natural language processing in empirical studies to inform policy. 

d.	Communicate your insights and recommendations cogently to diverse stakeholders through written policy proposals and presentations.","• Have a keen interest in empirical research on the real estate market
• Knowledge of economics and/or the real estate sector is preferred, to facilitate deep analysis of property market dynamics
• Have a Masters/Doctoral degree in Computer Science, Machine Learning, Applied Mathematics, Statistics, Data Science/analytics, Economics or related disciplines; or Degree in these fields with significant work experience. Candidates from other disciplines with professional certifications (i.e. Coursera) are welcomed to apply. 
• Possess expert knowledge in the following areas:
     • Common machine learning algorithms and key parameters, with experience in applying Supervised, Unsupervised and Reinforcement Learning on time-series and multi-dimensional data.
     • Natural Language Processing, Natural Language Understanding, Natural Language Generation with experience in applying Information Extraction and Classification on large volume of documents.
• Proficient in R, Python, MySQL or other relevant data analytics tools
• Experienced in working with large structured and unstructured datasets
• Keen to learn and share new methods and techniques with team members.
• Possess good communication (both written and spoken) and inter-personal skills.

Shortlisted applicants are required to submit their academic transcripts or educational certificates before the interview. "
9145,FALSE,,135e5426-adf2-1edf-9f88-9bedd3f2736b,/Date(1728432000000)/,,0,Closing on 09 Oct 2024,,Building and Estate Management ,Today,/Date(1727395200000)/,0,05-10 year(s),17,5,,4,10,"Science, Engineering & Technical",14960955,0,0,0,1,Sport Singapore,0,0,"Senior Executive/Manager, Infra Devt, Sport Infrastructure Group (SIG)",1,Permanent,,,"<br>At Sport Singapore, we aspire to transform the nation through an active lifestyle designed around innovative, fun and meaningful sporting experiences. <br><br>Sport has the unique ability to bring people together through play, regardless of age, gender, race, ability or social status. It imparts life values, nurtures character and builds resilience. It inspires and evokes the Singapore spirit through shared experiences and strengthens our national identity. We help Singaporeans Live Better Through Sport. <br><br>Sport Singapore is constantly on the lookout for individuals who are passionate about what they do. <br><br>Anchored in our values of Passion for Sport, Strength through Teamwork and Care for People, we believe in working and playing, not just as a team, but as a family.<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><div><div>Job Description</div></div><div><div><div><div><p>","</p><p>You will be reporting to the Team lead, Infrastructure Development, Sport Infrastructure Group (SIG). In this role, you will be part of the team to plan, develop, design and construct new generation of sports facilities through the execution and control of project development procedures by reviewing feasibility studies, conceptualising sport facilities, planning technical requirements, evaluation technical proposals and implementing the sport facilities.</p><p></p><p>In this role, you will</p><ul><li><p>Responsible for carrying out feasibility studies, developing planning proposals and guidelines, evaluating proposals and consulting various organizations regarding sports facilities planning, Dual Use Scheme (DUS), Sport-in-Precinct (SIP) and related subjects.</p></li><li><p>Responsible for the planning proposals, conceptualisation and development of the Sports Facilities Master Plan (SFMP) and Renovation Master Plan that aims to integrate all issues pertaining to sports facilities proposals and implementations under one unified and integrated plan for SportSG, to support SportSG’s Vision 2030 directions.</p></li><li><p>Responsible for supporting a myriad of tasks (administration and finance) to facilitate the smooth operation of the Infrastructure Development Team.</p></li><li><p>Responsible for supporting the delivery of project development within schedule, performance and budget. The responsibility includes:</p><ul><li><p>Prepare procurement related documents for projects</p></li><li><p>Prepare technical briefs to select, appoint and manage project consultants and contractors</p></li><li><p>Coordination with all internal and external stakeholders (withinSportSG and Government agencies), Multi-Disciplinary Teams and Contractors to resolve all technical problems in order to achieve the desired overall project objectives;</p></li><li><p>Provide administration and ensure knowledge management of project tender documents, processes and timelines.</p></li><li><p>management of all project team members to coordinate/ resolve technical issues;</p></li><li><p>custodian of the technical master construction schedule and ensure on site works are on schedule;</p></li><li><p>review and align all technical design drawings to ensure compliance with design specifications and guidelines; and</p></li><li><p>Identification of all technical discrepancies between mechanical, electrical, structural, interior design, architectural and stakeholders’ provisions</p></li></ul></li><li><p>Provide secretariat support to project committees.</p></li></ul><p></p><p>","</p><p>We are looking for self-motivated individuals who value integrity, teamwork and take pride in going the extra mile to provide excellent service to stakeholders and the community. This individual should be a sport advocate through living an active lifestyle and staying active.</p><p></p><p>In addition, an ideal candidate should possess the following:</p><ul><li><p>Background in Architecture, <span>Building/Construction</span> Management, Project Management,</p></li><li><p>At least 6 years of relevant working experience in the Architecture and Building Industry.</p></li><li><p>Experience in government procurement and other financial procedures and administration in public sector development projects and familiarity with building and construction regulations, as well as having facility operations experience, would be an advantage.</p></li><li><p>Experience in managing 2 to 3 projects concurrently.</p></li></ul><p></p><p><span>The level of offer will commensurate with applicants’ experience and track records. Successful candidates will be offered a 2 or 3-year contract in the first instance.</span></p></div></div></div></div><p></p><p></p>"
9077,FALSE,,135e5426-adf2-1edf-9f88-972a09f0536b,/Date(1728604800000)/,,0,Closing on 11 Oct 2024,,"InfoComm, Technology, New Media Communications ",Today,/Date(1727395200000)/,0,Entry level,22,0,,17,0,Industry/Sector Development & Programme,14914330,0,0,0,1,Singapore Tourism Board,0,0,Data Scientist,1,Permanent,,,"<br>The Data Scientist role is to collaborate with the existing team of data scientists, data engineers, analysts and internal stakeholders to bring scientific, mathematical rigour and enhance statistical methods to identify opportunities that will drive new business initiatives and growth.  Working with cross-functional teams within Technology Transformation Group (TTG), agency partners and external vendors, the person is expected to also implement, integrate and deploy developed algorithms / models from development to production into the current analytics system to avail deeper insights into our visitors to drive STB's strategic objectives and growth for Singapore’s tourism industry.<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p><strong><span>","</span></strong></p><p>Main Responsibilities:</p><p></p><p><strong>1. Project Management</strong></p><p><span>a) Project manage and work closely with vendors and internal stakeholders to deliver on data science related implementations ensuring that deliverables and objectives are met within agreed scope and timelines.</span></p><p><span>b) Collaborate with cross-functional teams, including d<span>ata engineers, devops engineers, product managers,<span> </span>and<span> </span>business analysts and business stakeholders, to integrate and deploy models into current analytics platforms and production systems.</span></span></p><p></p><p><strong>2. Application of Advanced Analytics and Data Science to Support Strategic Business Objectives</strong></p><p><span>a) Work with large, complex datasets and solve non-routine analysis problems, applying advanced analytical methods as required (e.g., multi-objective optimisation, bayesian optimsati<span>on and inference, etc..) to address business use cases and aid in decision making.</span></span></p><p><span>b) Prepare, process, cleanse and verify the integrity of data collected for analysis.</span> <span>Apply data mining techniques, perform statistical analysis and build prototype analysis pipelines iteratively to provide insights at scale.</span></p><p><span>c) Apply advanced machine learning techniques and models (e.g., LLMs, Autoencoders, GANs) to create machine learning-based tools or processes (e.g., recommendation engine(s), synthetic data generation, performance tracking through A/B testing, forecasting and predictive capabilities) to improve the current analytics capabilities.</span></p><p><span><span>d) Support and work closely with operational and strategic planning teams through the development of analytical capabilities and tools so that they are able to translate data into actionable insights.</span></span></p><p></p><p><strong>3. Data Collection and Management</strong></p><p><span>a) Collaborate with current team to review the existing data c<span>ollection methods and make improvements to the current data collection strategy.</span></span></p><p><span><span>b) Enhance data collection procedures to identify and include suitable data f</span>or building analytic models relevant for industry transformation.</span></p><p><span>c) Analyse and assess the effectiveness and accuracy of new data sources (e.g., datasets received from stakeholders, and annotation/ labelling of new training inputs).</span></p><p><span>d) Work with data and agency partners to assemble large, complex datasets that meet functional and non-functional business requirements.</span></p><p>e) Provide inputs to the design and development of an integrated data model to allow analysis across multiple structured and unstructured datasets.</p><p></p><p><strong><span>","</span></strong></p><ul><li><p>Degree from a recognised university in a quantitative discipline: Data Science, Applied Mathematics &amp; Statistics or Computer Science.</p></li><li><p>At least 3-5 years of relevant experience working in developing ML / AI mathematical models and successfully deploying at least 1 medium to large scale ML system.</p></li><li><p><span>Proven track record in managing internal and external stakeholders<span> </span></span>and delivering on objectives according to project timelines.</p></li><li><p><span>Good presentation and communication skills with ability to express complex ideas, data / concepts and outcomes of analysis clearly to business audiences.</span></p></li><li><p><span>Strong analytical skills with a good eye for detail and possess an aptitude/experience in solving analytical problems using quantitative approaches.</span></p></li><li><p><span>Ability to integrate and synthesise research and data across multiple sources to derive meaningful conclusions.</span></p></li><li><p><span>Possess extensive working experience solving analytical problems, including skills in statistical data analysis such as linear models, regression, multivariate analysis, stochastic models and sampling methods.</span></p></li><li><p>Experience in machine learning techniques (e.g., k-NN,<span> </span><span>Bayesian Networks</span>, SVM, Decision Forests etc.), machine learning frameworks (e.g., TensorFlow, PyTorch) and numerical methods (e.g.,<span> </span><span>multi-objective optimisation, bayesian optimsation etc.)</span></p></li><li><p>Experience in using Qliksense and AWS services (e.g., SageMaker, Athena, RDS, ECR, ECS, EMR, Lambda, Redis) will be advantageous.</p></li><li><p>Experienc<span>e with DevOps and depl</span>oying models through MLOps will be advantageous.</p></li><li><p><span>Experience working with structured and unstructured datasets is essential.</span></p></li><li><p><span>Proficient in statistical programming tools (e.g., R, Python), and database languages (e.g., SQL - DQL, DML, DDL)</span></p></li><li><p><span>Good command of written and spoken English</span></p></li><li><p><span>Strong planning, organisational, and time management skills</span></p></li></ul><p></p><p></p><p></p>"
9069,FALSE,,135e5426-adf2-1edf-9f88-9893c3c5d36b,/Date(1728691200000)/,,0,Closing on 12 Oct 2024,,Building and Estate Management ,Today,/Date(1721260800000)/,0,Entry level,10,0,,4,0,Procurement,14914333,0,0,0,1,Singapore Land Authority,0,0,"Assistant Manager, Procurement Services",1,Permanent,,,"<br><br>Assistant Manager, Procurement Services<p style=""text-align:inherit""></p><p style=""text-align:inherit""></p><p>","</p><ul><li><p><span>Conduct appropriate sourcing approaches, tendering, evaluation and contracting for goods and services in compliance with the Government Instruction Manual, Procurement Policies and Financial Regulation Manual guidelines within the stipulated timeline.</span></p></li><li><p><span>Support, manage, implement and execute policy, sourcing, category management, procurement operation to bring in optimal value to the Organisation throughout the procurement life-cycle. </span></p></li><li><p><span>Provide guidance to and communicate with the business users to achieve buy-in, and address their clarifications and procurement issues.</span></p></li><li><p><span>Participate in revising sourcing and category management procedures, projects and workplans to increase the team productivity and implement innovative procurement solutions.</span></p></li><li><p><span>Administer, analyse and report on the procurement performance, systems and compliance</span></p></li></ul><p></p><p><span>","</span></p><ul><li><p><span>Qualification in Information Technology/System, Engineering, Project &amp; Facilities Management, Real Estate, Quantity Surveying or related disciplines; </span></p></li><li><p><span>Minimum 3 years purchasing or procurement - related experience;</span></p></li><li><p><span>Knowledge of government procurement policies, and working experience in drafting of tender documents / contracts and electronic procurement systems will be an added advantage; </span></p></li><li><p><span>Meticulous, self-driven, motivated, able to deliver works independently and in a short turnaround time</span></p></li><li><p><span>Ability to exercise a high degree of initiative and integrity, good interpersonal, communication and writing skills.</span></p></li></ul><p></p><p></p>"
1260,FALSE,,135e5426-adf2-1edf-9f8e-462fe8b3d36b,/Date(1728518400000)/,,0,Closing on 10 Oct 2024,,Social and Community Development ,Today,/Date(1716422400000)/,0,03-05 year(s),24,3,,32,5,Social Services,13731007,12,0,0,1,Ministry Of Social And Family Development,3,0,"Manager (Service Planning), Fostering Service, RPG/CIC",3,Permanent/Contract,,,"Description of Group:
Looking for a workplace with passion and commitment to empower and restore lives of the vulnerable population in Singapore? Join the Rehabilitation and Protection Group (RPG)! 

Description of Division:
The Children in Care Service (CIC) oversees the provision of out-of-home care options, such as foster care, kinship care or residential care, to vulnerable children. CIC works closely with various partners to provide a continuum of out-of-home care options, and to grow and develop essential capabilities and services to strengthen the care sector for these children and help them to grow up to become contributing members of society.","You will play a key role in developing the Foster Care Sector, ensure effective service delivery and promulgate best practices to safeguard the safety and well-being of foster children (FCs) and support foster parents (FPs).  As part of the Service Planning team, you will work closely with the various CIC departments, internal and external stakeholders to drive and coordinate service planning for the sector, including developing, reviewing and optimising Out-of-Home Care (OHC) systems and processes. 

As part of the Fostering Service within CIC, you will: 
• Develop and refine models of care
o	Plan, conceptualise and execute initiatives, projects, and events at operational and strategic levels, including recommendation and/or implementation of operational policies, sector wide programmes and plans. 
o	Drive and lead initiatives such as business process reviews to refine and streamline work processes
o	Research and evaluate services and programmes 
o	Prepare reports and communicate corporate performance results to senior management and key committees in a clear and concise manner

• Plan and execute sector-wide initiatives
o	Strengthen data systems, data collation and analysis to identify gaps, understand products and market trends to develop programmes for the sector
o	Drive and enhance partnerships with external stakeholders to better support children in the OHC system, such as community partners, corporates, social service partners, etc.
o	Leverage technology to improve processes and service delivery 

This role offers a breadth of exposure to service planning, service innovation, partnerships, capability development and stakeholder engagement.","Competencies required:
•	Tertiary qualifications. At least 3 years of experience in service planning and service innovation 
•	Excellent project management skills, meticulous and comfortable with numbers
•	Ability to build relationships and communicate well with internal and external stakeholders 
•	Passionate in making a difference to vulnerable children and families
•	A team player who is also able to work independently  "
